SIGLA;DIA;HORA;LOCAL
FC008;2015-09-15;13:00 - 16:30 h;Sala Cerejeira
FC009;2015-09-15;13:00 - 16:30 h;Sala Cerejeira
FC010;2015-09-15;13:00 - 16:30 h;Sala Cerejeira
FC011;2015-09-15;13:00 - 16:30 h;Sala Cerejeira
FC012;2015-09-15;8:00 - 11:30 h;Sala Cerejeira
FC013;2015-09-15;8:00 - 11:30 h;Sala Cerejeira
FC014;2015-09-15;8:00 - 11:30 h;Sala Cerejeira
FC015;2015-09-15;8:00 - 11:30 h;Sala Cerejeira
FC016;2015-09-15;8:00 - 11:30 h;Sala Cerejeira
FC017;2015-09-15;13:00 - 16:30 h;Sala Cerejeira
FC018;2015-09-15;13:00 - 16:30 h;Sala Cerejeira
FC019;2015-09-15;13:00 - 16:30 h;Sala Cerejeira
FC020;2015-09-15;13:00 - 16:30 h;Sala Cerejeira
FC021;2015-09-15;13:00 - 16:30 h;Sala Cerejeira
FC022;2015-09-15;13:00 - 16:30 h;Sala Cerejeira
FC023;2015-09-15;8:00 - 11:30 h;Sala Cerejeira
FC024;2015-09-15;8:00 - 11:30 h;Sala Cerejeira
FC025;2015-09-15;8:00 - 11:30 h;Sala Cerejeira
FC026;2015-09-15;8:00 - 11:30 h;Sala Cerejeira
FC027;2015-09-15;8:00 - 11:30 h;Sala Cerejeira
HA001;2015-09-15;8:00 - 11:30 h;Sala Manacá
HA002;2015-09-15;8:00 - 11:30 h;Sala Manacá
HA003;2015-09-15;8:00 - 11:30 h;Sala Manacá
HA004;2015-09-15;8:00 - 11:30 h;Sala Manacá
HA005;2015-09-15;8:00 - 11:30 h;Sala Manacá
HA006;2015-09-15;8:00 - 11:30 h;Sala Manacá
HA007;2015-09-15;8:00 - 11:30 h;Sala Manacá
HA008;2015-09-15;8:00 - 11:30 h;Sala Manacá
HA009;2015-09-15;8:00 - 11:30 h;Sala Manacá
HA010;2015-09-15;8:00 - 11:30 h;Sala Manacá
HA011;2015-09-15;8:00 - 11:30 h;Sala Manacá
HA012;2015-09-15;8:00 - 11:30 h;Sala Manacá
HA013;2015-09-15;13:30 - 17:00 h;Sala Manacá
HA014;2015-09-15;13:30 - 17:00 h;Sala Manacá
HA015;2015-09-15;13:30 - 17:00 h;Sala Manacá
HA016;2015-09-15;13:30 - 17:00 h;Sala Manacá
HA017;2015-09-15;13:30 - 17:00 h;Sala Manacá
HA018;2015-09-15;13:30 - 17:00 h;Sala Manacá
HA019;2015-09-15;13:30 - 17:00 h;Sala Manacá
HA020;2015-09-15;13:30 - 17:00 h;Sala Manacá
HA021;2015-09-15;13:30 - 17:00 h;Sala Manacá
HA022;2015-09-15;13:30 - 17:00 h;Sala Manacá
HA023;2015-09-15;13:30 - 17:00 h;Sala Manacá
HA024;2015-09-15;13:30 - 17:00 h;Sala Manacá
JL001;2015-09-15;13:30 - 16:30 h;Sala Manacá
JL002;2015-09-15;13:30 - 16:30 h;Sala Manacá
PE001;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE002;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE003;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE004;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE005;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE006;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE007;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE008;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE009;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE010;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE011;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE012;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE013;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE014;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE015;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE016;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE017;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE018;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE019;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE020;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE021;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE022;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PE023;2015-09-15;8:00 - 11:30 h / 13:30 - 17:00 h;Foyer 3
PI0001;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0002;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0003;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0004;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0005;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0006;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0007;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0008;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0009;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0010;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0011;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0012;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0013;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0014;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0015;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0016;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0017;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0018;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0019;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0020;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0021;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0022;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0023;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0024;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0025;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0026;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0027;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0028;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0029;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0030;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0031;2015-09-15;8:00 - 11:30 h;Foyer 2
PI0032;2015-09-15;8:00 - 11:30 h;Foyer 2
