SIGLA,DIA,HORA,LOCAL
PI0091,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0092,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0093,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0094,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0095,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0096,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0097,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0098,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0099,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0100,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0101,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0102,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0103,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0104,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0105,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0106,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0107,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0108,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0109,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0110,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0111,9/4/2015,8:00 - 11:30 h,Foyer 2
